group,context_length,prediction_length,learning_rate,num_steps,batch_size,stride,n_eval_samples,group_name,mean_quantile_loss,mean_mse,mean_mae
Health Care,128,3,7.974495119713944e-06,1100,32,100,50,Health Care,0.005842344369739294,0.00035896076587960124,0.013290111906826496
Health Care,224,3,1.0113625368937799e-06,1200,16,75,200,Health Care,0.006513296160846949,0.00040333124343305826,0.014543099328875542
Health Care,128,1,1.4074032579775667e-05,1000,88,100,150,Health Care,0.006008367519825697,0.0003244169056415558,0.012722844257950783
Health Care,64,5,7.405858472324858e-06,1200,80,50,150,Health Care,0.007158887572586536,0.00047903601080179214,0.015756970271468163
Health Care,64,4,2.4824008417115887e-06,1000,32,25,100,Health Care,0.007241354789584875,0.000484064978081733,0.0161021389067173
Health Care,224,1,4.580287802314722e-05,300,64,75,50,Health Care,0.005991585087031126,0.0003619421331677586,0.01299352291971445
Health Care,192,2,1.8494433914224897e-05,600,56,50,50,Health Care,0.0050421892665326595,0.0002508845354896039,0.01180917490273714
Health Care,192,2,2.0865032155463277e-05,600,64,50,50,Health Care,0.005087317433208227,0.000256384868407622,0.011949663050472736
Health Care,256,2,1.869493217652911e-05,500,64,50,50,Health Care,0.005533408373594284,0.00037084679934196174,0.01259646750986576
Health Care,192,2,1.8051613446941225e-05,600,56,25,50,Health Care,0.006347266491502523,0.00036260002525523305,0.014155865646898746
Health Care,192,2,3.856993359223538e-06,200,72,75,50,Health Care,0.00547530222684145,0.0002847795549314469,0.012456890195608139
Health Care,160,2,1.1730607096800841e-05,600,48,50,50,Health Care,0.006704601459205151,0.0004273572994861752,0.014797321520745754
Health Care,256,2,2.642721600710679e-05,1500,56,75,100,Health Care,0.006905019748955965,0.00046077545266598463,0.014907591044902802
Health Care,160,4,4.539212683687175e-06,400,72,25,50,Health Care,0.006890397518873215,0.0004432482528500259,0.015226704999804497
Health Care,224,1,1.050900204217247e-05,700,48,50,100,Health Care,0.0061300271190702915,0.000363104889402166,0.01366456039249897
Financials,224,4,2.3340033595522503e-05,500,64,75,200,Financials,0.006185650825500488,0.00039077072869986296,0.013873690739274025
Financials,96,4,2.6462877853614633e-06,300,56,75,50,Financials,0.006931052077561617,0.0004182988777756691,0.015368995256721973
Financials,128,2,1.1344644020570756e-06,1100,32,75,200,Financials,0.006328580901026726,0.0004047132970299572,0.014485330320894718
Financials,96,3,1.3607473904241766e-06,300,96,25,100,Financials,0.008388320915400982,0.0005940909613855183,0.01865120604634285
Financials,96,3,1.5230840300591442e-06,300,16,50,50,Financials,0.0075448183342814445,0.0004773533728439361,0.01670682244002819
Financials,224,5,1.2293519026543133e-05,1300,32,50,50,Financials,0.007339373230934143,0.0005169183714315295,0.015927797183394432
Financials,128,4,2.7758521579972586e-05,400,24,100,150,Financials,0.00624964339658618,0.0004162416735198349,0.014409087598323822
Financials,96,4,4.74744331626864e-05,600,56,25,100,Financials,0.008925296366214752,0.0006513254484161735,0.01957673393189907
Financials,192,3,2.4033330121653627e-06,700,32,75,50,Financials,0.008371876552700996,0.0006400542915798724,0.018089361488819122
Financials,160,3,4.981226931323854e-05,500,96,100,150,Financials,0.007010139059275389,0.0004704934253823012,0.01501119788736105
Financials,256,1,9.580991448394999e-06,900,72,100,200,Financials,0.006255000364035368,0.0003601757052820176,0.013655991293489933
Financials,160,5,2.091753642759353e-05,800,8,100,150,Financials,0.007429483812302351,0.000556556973606348,0.016723889857530594
Financials,256,4,2.2448348855637804e-05,500,72,100,200,Financials,0.0063383146189153194,0.0003774667566176504,0.013858587481081486
Financials,192,4,2.3489781182249785e-05,200,72,75,150,Financials,0.006064348854124546,0.0003459361323621124,0.013456819579005241
Financials,224,5,6.1046315899260655e-06,1000,72,50,200,Financials,0.007080608978867531,0.000478691013995558,0.015588786453008652
Financials,192,2,5.1036626488304345e-06,200,80,75,150,Financials,0.006050072610378265,0.0003591538988985121,0.013597574084997177
Financials,192,1,5.189100903384021e-06,200,88,75,100,Financials,0.006012973375618458,0.0003741100081242621,0.013611534610390663
Financials,192,1,5.1273682073054475e-06,1500,88,50,100,Financials,0.006062039639800787,0.0003843010345008224,0.013818067498505116
Financials,192,2,3.6919130330522424e-06,200,88,75,100,Financials,0.005995049607008696,0.0003872586530633271,0.013403629884123802
Financials,64,2,3.127757494243441e-06,700,88,50,100,Financials,0.009555472992360592,0.0007012560381554067,0.021048417314887047
Consumer Discretionary,256,4,1.1685322174020788e-05,700,48,50,100,Consumer Discretionary,0.006799854803830385,0.00042474057408981025,0.01496407762169838
Consumer Discretionary,256,2,1.955480264623346e-06,800,32,100,100,Consumer Discretionary,0.006915295030921698,0.00045136080007068813,0.015244483947753906
Consumer Discretionary,64,4,1.0363286765117705e-05,1100,48,50,50,Consumer Discretionary,0.0070610954426229,0.0004692426591645926,0.015586938709020615
Consumer Discretionary,96,3,1.4822363468470627e-06,1000,32,50,200,Consumer Discretionary,0.008354109711945057,0.0006588588585145772,0.018551986664533615
Consumer Discretionary,128,2,3.8101272396064057e-06,1200,72,50,100,Consumer Discretionary,0.007487785071134567,0.0006197243346832693,0.01663742959499359
Consumer Discretionary,256,3,1.9068783141975277e-06,600,88,25,150,Consumer Discretionary,0.006961752660572529,0.00044460335629992187,0.015559772029519081
Consumer Discretionary,96,1,2.7610740451189076e-05,1000,48,25,150,Consumer Discretionary,0.007035179995000362,0.0005358696798793972,0.015642495825886726
Consumer Discretionary,256,4,1.3994268609717138e-06,1400,32,25,150,Consumer Discretionary,0.006668952293694019,0.0004124950501136482,0.014828472398221493
Consumer Discretionary,192,2,8.775450965182628e-06,900,80,100,200,Consumer Discretionary,0.006435955874621868,0.0004059486964251846,0.013564887456595898
Consumer Discretionary,96,2,7.819305687626329e-06,500,16,25,150,Consumer Discretionary,0.007861560210585594,0.0006090336246415973,0.017275193706154823
